TIME;RPM;MAP;Lambda 1;Lambda target;Short term trim;VE;Charge temp;Fuel pressure;TPS;DBW Target source;Ethanol content;F.ASE correction;
0.000;1230;40;0.896;0.931;-3.562;45.500;32;3.375;4.400;2;25.000;0;
0.040;1232;38;0.898;0.931;-3.562;45.500;33;3.312;4.400;2;25.000;0;
0.080;1236;40;0.901;0.931;-3.562;45.500;32;3.312;4.400;2;25.000;0;
0.120;1236;38;0.900;0.931;-3.562;45.500;33;3.312;4.400;2;25.000;0;
0.160;1236;40;0.900;0.931;-3.562;45.500;34;3.312;4.400;2;25.000;0;
0.200;1237;40;0.903;0.931;-3.562;45.500;32;3.312;4.400;2;25.000;0;
0.240;1228;40;0.903;0.931;-3.562;45.500;34;3.312;4.400;2;25.000;0;
0.280;1227;40;0.904;0.931;-3.625;45.500;33;3.312;4.400;2;25.000;0;
0.320;1228;40;0.904;0.931;-3.625;45.500;33;3.312;4.400;2;25.000;0;
0.360;1228;40;0.906;0.931;-3.625;45.400;34;3.312;4.400;2;25.000;0;
0.400;1224;40;0.908;0.931;-3.625;45.300;33;3.312;4.400;2;25.000;0;
0.440;1224;40;0.904;0.931;-3.625;45.500;34;3.312;4.400;2;25.000;0;
0.480;1229;40;0.900;0.931;-3.625;45.300;33;3.312;4.400;2;25.000;0;
0.520;1224;40;0.901;0.931;-3.625;45.400;33;3.312;4.400;2;25.000;0;
0.560;1224;40;0.901;0.931;-3.625;45.400;33;3.375;4.400;2;25.000;0;
0.600;1224;40;0.899;0.931;-3.625;45.500;32;3.375;4.400;2;25.000;0;
0.640;1232;40;0.898;0.931;-3.625;45.500;33;3.375;4.400;2;25.000;0;
0.680;1237;40;0.897;0.931;-3.625;45.500;33;3.375;4.400;2;25.000;0;
0.720;1243;38;0.897;0.931;-3.625;45.500;32;3.312;4.400;2;25.000;0;
0.760;1258;40;0.897;0.931;-3.625;45.500;33;3.312;4.400;2;25.000;0;
0.800;1258;38;0.897;0.931;-3.625;45.500;33;3.312;4.400;2;25.000;0;
0.840;1262;40;0.896;0.931;-3.625;45.500;32;3.312;4.400;2;25.000;0;
0.880;1264;38;0.894;0.931;-3.625;45.400;33;3.312;4.400;2;25.000;0;
0.920;1263;40;0.894;0.931;-3.625;45.500;33;3.312;4.400;2;25.000;0;
0.960;1266;38;0.895;0.931;-3.625;45.400;33;3.312;4.400;2;25.000;0;
1.000;1262;40;0.892;0.931;-3.688;45.500;33;3.312;4.400;2;25.000;0;
1.040;1262;38;0.888;0.931;-3.688;45.400;34;3.312;4.400;2;25.000;0;
1.080;1263;40;0.890;0.931;-3.688;45.500;32;3.312;4.400;2;25.000;0;
1.120;1263;38;0.890;0.931;-3.688;45.400;34;3.312;4.400;2;25.000;0;
1.160;1266;40;0.887;0.931;-3.688;45.500;33;3.312;4.400;2;25.000;0;
1.200;1254;38;0.886;0.931;-3.688;45.400;34;3.312;4.400;2;25.000;0;
1.240;1253;38;0.887;0.931;-3.688;45.500;33;3.312;4.400;2;25.000;0;
1.280;1254;38;0.886;0.931;-3.688;45.400;34;3.312;4.400;2;25.000;0;
1.320;1254;40;0.889;0.931;-3.688;45.500;34;3.312;4.400;2;25.000;0;
1.360;1257;38;0.896;0.931;-3.688;45.400;34;3.312;4.400;2;25.000;0;
1.400;1258;38;0.895;0.931;-3.688;45.500;33;3.312;4.400;2;25.000;0;
1.440;1260;38;0.892;0.931;-3.688;45.400;35;3.312;4.400;2;25.000;0;
1.480;1259;38;0.890;0.931;-3.688;45.500;32;3.312;4.400;2;25.000;0;
1.520;1259;40;0.889;0.931;-3.750;45.400;34;3.312;4.400;2;25.000;0;
1.560;1259;38;0.888;0.931;-3.750;45.400;33;3.312;4.400;2;25.000;0;
1.600;1252;40;0.888;0.931;-3.750;45.400;33;3.312;4.400;2;25.000;0;
1.640;1256;38;0.888;0.931;-3.750;45.400;33;3.312;4.400;2;25.000;0;
1.680;1259;40;0.888;0.931;-3.750;45.400;33;3.312;4.400;2;25.000;0;
