RPM\MAP,20,35,49,64,79,93,108,123,137,152,167,181,196,211,225,240
7000,58.5,62.4,66.1,68.9,70.0,70.6,71.6,72.5,73.3,74.2,75.3,76.2,77.0,77.8,78.7,79.5
6658,58.0,61.9,65.6,68.4,69.6,70.4,71.5,72.4,73.3,74.3,75.3,76.1,76.9,77.8,78.7,79.5
6316,57.5,61.4,65.1,68.0,69.3,70.2,71.3,72.2,73.0,74.1,75.3,76.1,76.9,77.7,78.6,79.5
5974,56.9,60.8,64.5,67.5,69.0,70.0,71.1,72.2,73.0,74.2,75.2,76.0,76.7,77.6,78.4,79.4
5632,56.3,60.3,64.0,67.1,68.6,69.8,71.1,72.1,72.9,73.9,74.9,75.5,76.3,77.0,77.8,78.7
5289,56.0,59.9,63.6,66.7,68.3,69.6,71.1,71.9,72.7,76.8,74.6,75.1,75.6,76.4,77.1,78.0
4947,55.5,59.4,63.1,66.3,68.1,69.6,71.0,71.7,72.5,76.0,76.9,74.5,74.9,75.6,76.4,77.4
4605,54.8,58.7,62.4,65.8,67.8,69.4,70.6,71.3,72.1,74.9,73.3,73.9,74.3,75.1,75.9,76.9
4263,54.1,58.1,61.8,69.2,71.3,69.1,70.2,71.4,72.5,73.2,73.6,74.5,75.2,76.1,76.9,76.1
3921,53.6,57.6,61.4,67.8,69.7,71.5,73.1,74.6,75.8,76.7,77.3,77.5,77.2,76.5,75.2,75.2
3579,51.1,57.7,61.0,67.6,69.1,71.1,71.8,69.5,70.2,71.4,71.7,72.0,72.7,73.5,74.5,74.5
3237,51.3,55.9,59.3,64.2,67.5,70.5,68.4,68.9,70.2,70.6,71.0,71.3,72.0,72.6,73.6,73.6
2895,46.1,51.6,57.7,62.3,66.4,69.4,67.5,67.9,68.2,68.8,69.3,69.7,70.1,70.9,71.7,72.7
2553,44.3,46.4,57.1,59.8,66.8,68.5,67.3,67.3,67.4,67.7,68.1,68.5,69.0,69.9,70.8,71.7
2211,42.2,44.8,56.2,59.6,64.8,66.7,65.8,65.7,66.2,66.6,67.3,67.8,68.8,69.8,70.6,70.6
1868,41.6,43.4,54.6,59.5,62.7,64.4,64.4,64.0,64.2,64.8,65.4,65.9,66.7,67.6,68.8,69.6
1526,42.8,43.4,45.0,57.9,61.4,62.9,63.2,62.6,62.7,63.3,63.8,64.5,65.3,66.4,67.6,68.6
1184,42.6,43.3,44.2,53.3,59.7,61.4,61.3,60.7,60.8,61.4,62.2,63.1,64.0,65.2,66.2,67.5
842,39.0,43.1,43.5,47.8,56.6,59.3,59.4,59.3,58.4,59.3,60.5,61.4,62.5,63.7,65.0,66.2
500,39.0,39.0,42.7,46.6,54.1,56.4,54.1,56.4,56.2,57.2,58.6,59.7,60.9,62.3,63.6,65.2
